model_name,configuration,fold,training_start,training_end,validation_start,validation_end,gap_rows,validation_rows,mae,rmse,mape_percent,r2,mase_vs_persistence,mae_improvement_vs_persistence_percent,persistence_mae,feature_count,training_seconds,prediction_seconds,warning_status,best_iteration,aic
catboost,cat_mae_compact,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,132.33035712788947,159.3116746301945,2.0851014466037068,0.14911864005951392,1.0406544023538562,-4.06544023538562,127.16071428571429,43,0.4696959999855608,0.0012411668431013823,ok,0.0,
catboost,cat_mae_compact,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,79.7693222844805,97.59633283997054,1.2880215095484453,0.2122504798822068,1.087675200372756,-8.767520037275581,73.33928571428571,43,0.0967586669139564,0.0003404999151825905,ok,31.0,
catboost,cat_mae_compact,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,183.68317833777306,221.55761834598025,3.0678438644659667,0.9026347154169673,0.5063879282683647,49.36120717316353,362.73214285714283,43,0.6114520421251655,0.00037512509152293205,ok,475.0,
catboost,cat_mae_compact,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,330.2906095000061,388.7265010026762,11.246262546090065,0.7224380034486213,0.963598548163602,3.6401451836398007,342.76785714285717,43,0.1630565410014242,0.00036745890974998474,ok,86.0,
catboost,cat_mae_compact,5,2023-01-12,2025-03-05,2025-03-13,2025-05-07,7,56,15.371286948938446,19.754949501019098,0.673060572994511,0.9342081653527508,0.44302216631011476,55.69778336898852,34.69642857142857,43,0.08151441696099937,0.0003522501792758703,ok,14.0,
elastic_net,elastic_a10_l20_compact,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,487.8939580798255,513.3263549742977,7.66176851565482,-7.834071877728283,3.836829329092856,-283.68293290928557,127.16071428571429,43,0.002257874934002757,0.0003419159911572933,ok,,
elastic_net,elastic_a10_l20_compact,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,225.9182740661798,254.01427233217646,3.6444467949274904,-4.336264974221352,3.080453700439754,-208.0453700439754,73.33928571428571,43,0.0024033330846577883,0.00036587496288120747,ok,,
elastic_net,elastic_a10_l20_compact,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,265.35823868388303,311.1577201974921,4.466065545351899,0.8079599001150553,0.7315542443901665,26.84457556098336,362.73214285714283,43,0.0025288329925388098,0.00036070914939045906,ok,,
elastic_net,elastic_a10_l20_compact,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,387.4717117859906,419.91515941908756,13.509375422184627,0.6761120346497045,1.130420206304531,-13.042020630453091,342.76785714285717,43,0.0027411249466240406,0.0003598751500248909,ok,,
elastic_net,elastic_a10_l20_compact,5,2023-01-12,2025-03-05,2025-03-13,2025-05-07,7,56,43.89739284326071,54.5282801531637,1.920482154730733,0.4987391922979374,1.2651847654259392,-26.518476542593927,34.69642857142857,43,0.0028206249698996544,0.00036112498492002487,ok,,
ets,ets_weekly_additive,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,234.56744291212357,269.47375126846805,3.708484671918328,-1.4344829671659856,1.8446533918099872,-84.46533918099873,127.16071428571429,0,0.22480579209513962,5.4915901273489e-05,"No frequency information was provided, so inferred frequency D will be used.",,5129.45002220071
ets,ets_weekly_additive,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,112.34756374675065,135.1815549607298,1.7978080666885075,-0.5113185878482363,1.5318878913606129,-53.18878913606129,73.33928571428571,0,0.14202270796522498,5.545793101191521e-05,"No frequency information was provided, so inferred frequency D will be used.",,5604.786095942179
ets,ets_weekly_additive,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,361.6298565332254,397.50883860203044,6.065349606404961,0.6865817071037209,0.9969611561985242,0.3038843801475737,362.73214285714283,0,0.15176025009714067,5.345791578292847e-05,"No frequency information was provided, so inferred frequency D will be used.",,6070.39970113089
ets,ets_weekly_additive,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,275.44416854178866,306.16742254858826,11.121834268630375,0.8278172417380304,0.80358809264601,19.641190735398993,342.76785714285717,0,0.17839237512089312,5.4791104048490524e-05,"No frequency information was provided, so inferred frequency D will be used.",,6540.559075262709
ets,ets_weekly_additive,5,2023-01-12,2025-03-05,2025-03-13,2025-05-07,7,56,120.73684413922173,122.0701867406714,5.273398473041507,-1.512114135992455,3.479806110034183,-247.98061100341832,34.69642857142857,0,0.15736879198811948,5.491706542670727e-05,"No frequency information was provided, so inferred frequency D will be used.",,6994.427493872042
lightgbm,lgb_l1_shallow_compact,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,125.63798070538344,148.62785629932338,1.9819723792583257,0.2594161588084025,0.9880251256145868,1.1974874385413232,127.16071428571429,43,0.035060791997238994,0.0005119999404996634,ok,7.0,
lightgbm,lgb_l1_shallow_compact,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,88.26674553571424,107.83503566240384,1.431648029853073,0.03829711040768069,1.2035397492086675,-20.353974920866754,73.33928571428571,43,0.008956083096563816,0.0003449579235166311,ok,2.0,
lightgbm,lgb_l1_shallow_compact,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,228.66844829626243,291.43915893514776,3.860547833698206,0.8315284500785983,0.6304058043908185,36.95941956091815,362.73214285714283,43,0.033579499926418066,0.0005145829636603594,ok,183.0,
lightgbm,lgb_l1_shallow_compact,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,348.8987712168719,408.3825768490587,11.975082122827938,0.6936583023714504,1.0178864906561513,-1.7886490656151406,342.76785714285717,43,0.017665375024080276,0.0004042498767375946,ok,58.0,
lightgbm,lgb_l1_shallow_compact,5,2023-01-12,2025-03-05,2025-03-13,2025-05-07,7,56,19.560550604572665,28.818496699661324,0.8619418263602177,0.8599887947449805,0.563762652524997,43.62373474750029,34.69642857142857,43,0.02115587517619133,0.0004320419393479824,ok,73.0,
persistence,persistence,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,127.16071428571429,150.93157153397127,1.9911226962479902,0.2362803018294043,1.0,0.0,127.16071428571429,0,0.0,3.145798109471798e-05,ok,,
persistence,persistence,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,73.33928571428571,83.15529791557825,1.185435488415645,0.4281251519693593,1.0,0.0,73.33928571428571,0,0.0,4.887394607067108e-05,ok,,
persistence,persistence,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,362.73214285714283,423.01597825276394,6.245311045399386,0.645068695359437,1.0,0.0,362.73214285714283,0,0.0,6.224890239536762e-05,ok,,
persistence,persistence,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,342.76785714285717,427.77173903179454,11.12582446237244,0.663878817328104,1.0,0.0,342.76785714285717,0,0.0,7.720687426626682e-05,ok,,
persistence,persistence,5,2023-01-12,2025-03-05,2025-03-13,2025-05-07,7,56,34.69642857142857,38.78903563784856,1.5150343864678486,0.7463481031983933,1.0,0.0,34.69642857142857,0,0.0,9.149895049631596e-05,ok,,
ridge,ridge_a100_compact,1,2023-01-12,2024-07-24,2024-08-01,2024-09-25,7,56,412.37600444722284,440.2786466564094,6.479245613382279,-5.498738319686801,3.242951305862165,-224.29513058621652,127.16071428571429,43,0.0013704169541597366,0.0004052079748362303,ok,,
ridge,ridge_a100_compact,2,2023-01-12,2024-09-18,2024-09-26,2024-11-20,7,56,211.37135008499612,237.70046303248975,3.4103024919452283,-3.672843152079939,2.8821026551643008,-188.21026551643013,73.33928571428571,43,0.0012992499396204948,0.00034891581162810326,ok,,
ridge,ridge_a100_compact,3,2023-01-12,2024-11-13,2024-11-21,2025-01-15,7,56,262.8308607438285,310.3473846041903,4.429616691043505,0.80895884235381,0.7245866293336483,27.541337066635172,362.73214285714283,43,0.0012783340644091368,0.000343875028192997,ok,,
ridge,ridge_a100_compact,4,2023-01-12,2025-01-08,2025-01-16,2025-03-12,7,56,383.63955493907855,415.77052636708044,13.408628615780543,0.6824741384973971,1.1192401707000987,-11.924017070009885,342.76785714285717,43,0.001327750040218234,0.00034624990075826645,ok,,
