feature,gain_importance,split_importance,gain_importance_percent,rank
lag_7d_cbp_apprehensions,113.61949062347412,18.0,0.32980223019693566,83
rolling_7d_net_daily_intake_max,113.45594000816345,18.0,0.32932749335923683,84
ema_14d_net_daily_intake,107.09480953216553,16.0,0.31086309956512864,85
lag_7d_net_daily_intake,103.24491143226624,16.0,0.29968803644514486,86
rolling_14d_net_daily_intake_mean,101.65977025032043,13.0,0.29508686199775014,87
lag_28d_hhs_discharges,99.6780903339386,17.0,0.2893346582836439,88
ema_7d_total_system_load,97.89246940612793,10.0,0.28415155315751855,89
rolling_30d_hhs_discharges_std,96.70599043369293,13.0,0.28070757176802635,90
rolling_7d_total_system_load_min,94.92052853107452,11.0,0.27552492824283564,91
rolling_14d_total_system_load_min,93.98574185371399,10.0,0.2728115317185231,92
lag_7d_hhs_active_load,90.87845063209534,12.0,0.26379202662183804,93
lag_14d_hhs_discharges,77.34536933898926,11.0,0.2245096784313006,94
lag_14d_net_daily_intake,75.33276343345642,15.0,0.2186677061384313,95
lag_1d_hhs_discharges,74.84236907958984,13.0,0.2172442430451391,96
lag_1d_cbp_transfers,73.53677749633789,16.0,0.21345451459696485,97
rolling_7d_total_system_load_mean,62.60070061683655,9.0,0.18171046676966782,98
lag_1d_cbp_apprehensions,60.42650020122528,12.0,0.17539943560741797,99
lag_14d_cbp_transfers,53.989479541778564,13.0,0.15671475608931892,100
ema_7d_net_daily_intake,52.08648061752319,9.0,0.1511909389533871,101
lag_7d_hhs_discharges,47.3201986849308,10.0,0.13735589707377172,102
calendar_month_sin,44.74756979942322,6.0,0.12988835132740692,103
lag_7d_cbp_transfers,44.226709604263306,9.0,0.128376455322224,104
ema_14d_total_system_load,32.1074001789093,5.0,0.09319784947743853,105
calendar_month,15.652770042419434,2.0,0.045435148850096696,106
calendar_day_of_week,13.83978009223938,3.0,0.04017259991933711,107
calendar_dow_cos,10.41211986541748,3.0,0.030223162714857664,108
calendar_quarter,9.3125,1.0,0.027031306440960464,109
calendar_dow_sin,0.0,0.0,0.0,110
calendar_is_month_end,0.0,0.0,0.0,111
calendar_is_month_start,0.0,0.0,0.0,112
calendar_is_weekend,0.0,0.0,0.0,113
quality_is_imputed_date,0.0,0.0,0.0,114
rolling_14d_cbp_apprehensions_min,0.0,0.0,0.0,115
rolling_14d_cbp_transfers_min,0.0,0.0,0.0,116
rolling_14d_hhs_discharges_min,0.0,0.0,0.0,117
rolling_30d_cbp_apprehensions_min,0.0,0.0,0.0,118
rolling_30d_cbp_transfers_min,0.0,0.0,0.0,119
rolling_30d_hhs_discharges_min,0.0,0.0,0.0,120
rolling_7d_cbp_apprehensions_min,0.0,0.0,0.0,121
rolling_7d_cbp_transfers_min,0.0,0.0,0.0,122
rolling_7d_hhs_discharges_min,0.0,0.0,0.0,123
